;ID;FECHA_UTC;HORA_UTC;LATITUD;LONGITUD;PROFUNDIDAD;MAGNITUD;FECHA_CORTE;geometry;UBICACION;MAGNITUD_CAT;PROFUNDIDAD_CAT;LUGAR
8909;8909;2000;72439;-15.286;-74.3838;35;4.9;20223006;POINT (-74.3838 -15.286);-15.286,-74.3838;Moderado;Superficial;Ayacucho
8910;8910;2000;75658;-12.3209;-73.4345;20;4.6;20223006;POINT (-73.4345 -12.3209);-12.3209,-73.4345;Moderado;Superficial;Cusco
8911;8911;2000;165336;-13.1605;-76.2921;62;4.6;20223006;POINT (-76.2921 -13.1605);-13.1605,-76.2921;Moderado;Intermedia;Lima
8913;8913;2000;1527;-15.3827;-74.2546;45;4.6;20223006;POINT (-74.2546 -15.3827);-15.3827,-74.2546;Moderado;Superficial;Ayacucho
8914;8914;2000;115927;-10.4027;-77.5914;70;4.5;20223006;POINT (-77.5914 -10.4027);-10.4027,-77.5914;Moderado;Intermedia;Ancash
8915;8915;2000;35912;-14.8304;-75.2861;51;4.6;20223006;POINT (-75.2861 -14.8304);-14.8304,-75.2861;Moderado;Superficial;Ica
8916;8916;2000;64631;-12.5508;-74.9367;110;4.8;20223006;POINT (-74.9367 -12.5508);-12.5508,-74.9367;Moderado;Intermedia;Huancavelica
8917;8917;2000;40503;-5.2384;-77.4821;33;4.9;20223006;POINT (-77.4821 -5.2384);-5.2384,-77.4821;Moderado;Superficial;Loreto
8919;8919;2000;171748;-14.7706;-74.6851;42;4.9;20223006;POINT (-74.6851 -14.7706);-14.7706,-74.6851;Moderado;Superficial;Ayacucho
8920;8920;2000;70410;-4.9324;-77.3777;29;5.0;20223006;POINT (-77.3777 -4.9324);-4.9324,-77.3777;Moderado;Superficial;Loreto
8921;8921;2000;75148;-4.1011;-80.7356;21;4.7;20223006;POINT (-80.7356 -4.1011);-4.1011,-80.7356;Moderado;Superficial;Tumbes
8922;8922;2000;95518;-5.7312;-76.8908;144;4.8;20223006;POINT (-76.8908 -5.7312);-5.7312,-76.8908;Moderado;Intermedia;Loreto
8923;8923;2000;210635;-5.1626;-77.1277;49;4.5;20223006;POINT (-77.1277 -5.1626);-5.1626,-77.1277;Moderado;Superficial;Loreto
8925;8925;2000;82215;-5.7385;-75.9986;137;4.8;20223006;POINT (-75.9986 -5.7385);-5.7385,-75.9986;Moderado;Intermedia;Loreto
8927;8927;2000;72547;-15.3741;-73.5554;22;4.9;20223006;POINT (-73.5554 -15.3741);-15.3741,-73.5554;Moderado;Superficial;Ayacucho
8928;8928;2000;233323;-7.935;-74.1048;173;4.6;20223006;POINT (-74.1048 -7.935);-7.935,-74.1048;Moderado;Intermedia;Ucayali
8929;8929;2000;4222;-10.2632;-75.4033;52;4.5;20223006;POINT (-75.4033 -10.2632);-10.2632,-75.4033;Moderado;Superficial;Pasco
8930;8930;2000;192955;-5.0872;-77.1319;129;4.6;20223006;POINT (-77.1319 -5.0872);-5.0872,-77.1319;Moderado;Intermedia;Loreto
